Fecha,Equipo,Tipo,Jugador,Otro,Monto,Descripcion
24/10/2025,Vigar24,Compra,Bellingham,Pablinistan FC,91043167,Compra a Pablinistan FC
24/10/2025,Vigar24,Compra,Rashford,Alcatamy eSports By,97000000,Compra a Alcatamy eSports By
24/10/2025,Vigar24,Compra,Sow,LALIGA,2500011,Compra a LALIGA
24/10/2025,Vigar24,Venta,Ristic,LALIGA,461405,Venta a LALIGA
24/10/2025,Visite La Manga FC,Compra,A. Rahim,LALIGA,721477,Compra a LALIGA
24/11/2025,GOLENCIERRO FC,Compra,Ayoze,LALIGA,18000000,Compra a LALIGA
24/11/2025,Vigar24,Compra,Lewandowski,Pablinistan FC,81516062,Compra a Pablinistan FC
25/08/2025,Alcatamy eSports By,Compra,Gudelj,LALIGA,2923496,Compra a LALIGA
25/08/2025,Alcatamy eSports By,Compra,Pau López,LALIGA,7062746,Compra a LALIGA
25/08/2025,Alcatamy eSports By,Venta,Brais Méndez,LALIGA,18313510,Venta a LALIGA
25/08/2025,Alcatamy eSports By,Venta,Ugrinic,LALIGA,5620753,Venta a LALIGA
25/08/2025,GOLENCIERRO FC,Compra,Raba,Visite La Manga FC,19500000,Compra a Visite La Manga FC
25/08/2025,Morenazos FC,Compra,Lamine Yamal,LALIGA,143000000,Compra a LALIGA
25/08/2025,Morenazos FC,Venta,Tsygankov,LALIGA,16777345,Venta a LALIGA
25/08/2025,Pablinistan FC,Compra,Álvaro Nuñez,GOLENCIERRO FC,1672043,Compra a GOLENCIERRO FC
25/08/2025,Pablinistan FC,Venta,T. Martinez,LALIGA,2178677,Venta a LALIGA
25/08/2025,Vigar24,Compra,Tchouaméni,Pablinistan FC,45913530,Compra a Pablinistan FC
25/08/2025,Vigar24,Venta,Rubén García,LALIGA,11357417,Venta a LALIGA
25/09/2025,Alcatamy eSports By,Compra,Eric,Pablinistan FC,28086288,Compra a Pablinistan FC
25/09/2025,Pablinistan FC,Compra,Dani Calvo,Morenazos FC,1411596,Compra a Morenazos FC
25/09/2025,Pablinistan FC,Compra,Álvaro Nuñez,Vigar24,6236377,Compra a Vigar24
25/09/2025,Pablinistan FC,Venta,Gudelj,LALIGA,3340101,Venta a LALIGA
25/09/2025,Visite La Manga FC,Compra,Blanco,LALIGA,7389292,Compra a LALIGA
25/10/2025,Alcatamy eSports By,Compra,Amrabat,LALIGA,8039027,Compra a LALIGA
25/10/2025,GOLENCIERRO FC,Compra,Óscar Valentín,LALIGA,1100000,Compra a LALIGA
25/10/2025,Pablinistan FC,Compra,F.,Jong de Vigar24,59710854,Compra a Jong de Vigar24
25/10/2025,Pablinistan FC,Compra,Fornals,Alcatamy eSports By,71227521,Compra a Alcatamy eSports By
25/10/2025,Pablinistan FC,Venta,Rafa Marín,LALIGA,40255776,Venta a LALIGA
25/10/2025,Vigar24,Compra,Barrios,LALIGA,59000000,Compra a LALIGA
25/11/2025,Alcatamy eSports By,Jornada,-,Premios,8800000,Jornada 13
25/11/2025,GOLENCIERRO FC,Jornada,-,Premios,8700000,Jornada 13
25/11/2025,Morenazos FC,Jornada,-,Premios,5500000,Jornada 13
25/11/2025,Pablinistan FC,Jornada,-,Premios,7300000,Jornada 13
25/11/2025,Vigar24,Jornada,-,Premios,8600000,Jornada 13
25/11/2025,Visite La Manga FC,Jornada,-,Premios,7100000,Jornada 13
25/11/2025,Pablinistan FC,Compra,Agirrezabala,Visite La Manga FC,18903850,Compra a Visite La Manga FC
25/11/2025,Pablinistan FC,Venta,Júnior R.,LALIGA,30981920,Venta a LALIGA
25/11/2025,Vigar24,Blindaje,Bellingham,-,0,Blindaje
25/11/2025,Vigar24,Compra,Isco,Pablinistan FC,81245098,Compra a Pablinistan FC
25/11/2025,Vigar24,Compra,Renato Veiga,LALIGA,21852400,Compra a LALIGA
25/11/2025,Vigar24,Venta,Danjuma,LALIGA,32750912,Venta a LALIGA
